Year,Age,Ethnic,Sex,Area,count
2030,0,4,2,9999,5436
2030,0,4,2,77,5436
2030,0,4,9,1,150
2030,0,4,9,2,6537
2030,0,4,9,3,771
2030,0,4,9,4,438
2030,0,4,9,5,30
2030,0,4,9,6,153
2030,0,4,9,7,120
2030,0,4,9,8,291
2030,0,4,9,9,1077
2030,0,4,9,12,27
2030,0,4,9,13,1104
2030,0,4,9,14,225
2030,0,4,9,15,102
2030,0,4,9,16,18
2030,0,4,9,17,81
2030,0,4,9,18,36
2030,0,4,9,99,..C
2030,0,4,9,9999,11151
2030,0,4,9,77,11151
2030,0,5,1,1,12
2030,0,5,1,2,318
2030,0,5,1,3,51
2030,0,5,1,4,33
2030,0,5,1,5,6
2030,0,5,1,6,15
2030,0,5,1,7,9
2030,0,5,1,8,24
2030,0,5,1,9,99
2030,0,5,1,12,0
2030,0,5,1,13,75
2030,0,5,1,14,33
2030,0,5,1,15,6
2030,0,5,1,16,3
2030,0,5,1,17,0
2030,0,5,1,18,6
2030,0,5,1,99,..C
2030,0,5,1,9999,684
2030,0,5,1,77,684
2030,0,5,2,1,9
2030,0,5,2,2,324
2030,0,5,2,3,72
2030,0,5,2,4,21
2030,0,5,2,5,3
2030,0,5,2,6,15
2030,0,5,2,7,12
2030,0,5,2,8,18
2030,0,5,2,9,108
2030,0,5,2,12,0
2030,0,5,2,13,66
2030,0,5,2,14,33
2030,0,5,2,15,3
2030,0,5,2,16,3
2030,0,5,2,17,3
2030,0,5,2,18,3
2030,0,5,2,99,..C
2030,0,5,2,9999,693
2030,0,5,2,77,693
2030,0,5,9,1,24
2030,0,5,9,2,645
2030,0,5,9,3,123
2030,0,5,9,4,51
2030,0,5,9,5,9
2030,0,5,9,6,30
2030,0,5,9,7,18
2030,0,5,9,8,42
2030,0,5,9,9,207
2030,0,5,9,12,3
2030,0,5,9,13,141
2030,0,5,9,14,66
2030,0,5,9,15,12
2030,0,5,9,16,3
2030,0,5,9,17,3
2030,0,5,9,18,9
2030,0,5,9,99,..C
2030,0,5,9,9999,1377
2030,0,5,9,77,1377
2030,0,6,1,1,9
2030,0,6,1,2,111
2030,0,6,1,3,42
2030,0,6,1,4,15
2030,0,6,1,5,3
2030,0,6,1,6,12
2030,0,6,1,7,9
2030,0,6,1,8,18
2030,0,6,1,9,42
2030,0,6,1,12,0
2030,0,6,1,13,60
2030,0,6,1,14,18
2030,0,6,1,15,9
2030,0,6,1,16,3
2030,0,6,1,17,3
2030,0,6,1,18,6
2030,0,6,1,99,..C
2030,0,6,1,9999,360
2030,0,6,1,77,360
2030,0,6,2,1,12
2030,0,6,2,2,111
2030,0,6,2,3,27
2030,0,6,2,4,27
2030,0,6,2,5,3
2030,0,6,2,6,9
2030,0,6,2,7,9
2030,0,6,2,8,18
2030,0,6,2,9,48
2030,0,6,2,12,6
2030,0,6,2,13,42
2030,0,6,2,14,12
2030,0,6,2,15,6
2030,0,6,2,16,6
2030,0,6,2,17,3
2030,0,6,2,18,3
2030,0,6,2,99,..C
2030,0,6,2,9999,339
2030,0,6,2,77,339
2030,0,6,9,1,18
2030,0,6,9,2,222
2030,0,6,9,3,66
2030,0,6,9,4,42
2030,0,6,9,5,6
2030,0,6,9,6,18
2030,0,6,9,7,18
2030,0,6,9,8,39
2030,0,6,9,9,90
2030,0,6,9,12,9
2030,0,6,9,13,99
2030,0,6,9,14,30
2030,0,6,9,15,15
2030,0,6,9,16,6
2030,0,6,9,17,9
2030,0,6,9,18,6
2030,0,6,9,99,..C
2030,0,6,9,9999,696
2030,0,6,9,77,696
2030,0,9,1,1,0
2030,0,9,1,2,3
2030,0,9,1,3,3
2030,0,9,1,4,3
2030,0,9,1,5,0
2030,0,9,1,6,0
2030,0,9,1,7,0
2030,0,9,1,8,3
2030,0,9,1,9,0
2030,0,9,1,12,0
2030,0,9,1,13,6
2030,0,9,1,14,3
2030,0,9,1,15,3
2030,0,9,1,16,0
2030,0,9,1,17,0
2030,0,9,1,18,0
2030,0,9,1,99,..C
2030,0,9,1,9999,18
2030,0,9,1,77,18
2030,0,9,2,1,0
2030,0,9,2,2,3
2030,0,9,2,3,0
2030,0,9,2,4,3
2030,0,9,2,5,0
2030,0,9,2,6,0
2030,0,9,2,7,0
2030,0,9,2,8,0
2030,0,9,2,9,3
2030,0,9,2,12,0
2030,0,9,2,13,3
2030,0,9,2,14,0
2030,0,9,2,15,0
2030,0,9,2,16,0
2030,0,9,2,17,0
2030,0,9,2,18,0
2030,0,9,2,99,..C
2030,0,9,2,9999,6
2030,0,9,2,77,6
2030,0,9,9,1,0
2030,0,9,9,2,6
2030,0,9,9,3,3
2030,0,9,9,4,3
2030,0,9,9,5,0
2030,0,9,9,6,0
2030,0,9,9,7,0
2030,0,9,9,8,3
2030,0,9,9,9,0
2030,0,9,9,12,0
2030,0,9,9,13,9
2030,0,9,9,14,3
2030,0,9,9,15,0
2030,0,9,9,16,0
2030,0,9,9,17,0
2030,0,9,9,18,0
2030,0,9,9,99,..C
2030,0,9,9,9999,27
2030,0,9,9,77,27
2018,0,77,1,1,1161
2018,0,77,1,2,10401
2018,0,77,1,3,3153
2018,0,77,1,4,2025
2018,0,77,1,5,342
2018,0,77,1,6,1086
2018,0,77,1,7,744
2018,0,77,1,8,1590
2018,0,77,1,9,3051
2018,0,77,1,12,204
2018,0,77,1,13,3621
2018,0,77,1,14,1209
2018,0,77,1,15,612
2018,0,77,1,16,246
2018,0,77,1,17,273
2018,0,77,1,18,276
2018,0,77,1,99,..C
2018,0,77,1,9999,29991
2018,0,77,1,77,29985
2018,0,77,2,1,1140
2018,0,77,2,2,9894
2018,0,77,2,3,2967
2018,0,77,2,4,1986
2018,0,77,2,5,345
2018,0,77,2,6,1044
2018,0,77,2,7,699
2018,0,77,2,8,1443
2018,0,77,2,9,2970
2018,0,77,2,12,198
2018,0,77,2,13,3483
2018,0,77,2,14,1152
2018,0,77,2,15,612
2018,0,77,2,16,207
2018,0,77,2,17,267
2018,0,77,2,18,237
2018,0,77,2,99,..C
2018,0,77,2,9999,28650
2018,0,77,2,77,28647
2018,0,77,9,1,2301
2018,0,77,9,2,20292
2018,0,77,9,3,6120
2018,0,77,9,4,4011
2018,0,77,9,5,684
2018,0,77,9,6,2133
2018,0,77,9,7,1443
2018,0,77,9,8,3033
2018,0,77,9,9,6021
2018,0,77,9,12,399
2018,0,77,9,13,7104
2018,0,77,9,14,2361
2018,0,77,9,15,1221
2018,0,77,9,16,453
2018,0,77,9,17,540
2018,0,77,9,18,513
2018,0,77,9,99,6
2018,0,77,9,9999,58641
2018,0,77,9,77,58632
2018,0,9999,1,1,1161
2018,0,9999,1,2,10404
2018,0,9999,1,3,3153
2018,0,9999,1,4,2028
2018,0,9999,1,5,342
2018,0,9999,1,6,1086
2018,0,9999,1,7,744
2018,0,9999,1,8,1590
2018,0,9999,1,9,3051
2018,0,9999,1,12,204
2018,0,9999,1,13,3627
2018,0,9999,1,14,1215
2018,0,9999,1,15,612
2018,0,9999,1,16,246
2018,0,9999,1,17,273
2018,0,9999,1,18,276
2018,0,9999,1,99,3
2018,0,9999,1,9999,30009
2018,0,9999,1,77,30006
2018,0,9999,2,1,1140
2018,0,9999,2,2,9894
2018,0,9999,2,3,2967
2018,0,9999,2,4,1989
2018,0,9999,2,5,345
2018,0,9999,2,6,1044
2018,0,9999,2,7,699
2018,0,9999,2,8,1443
2018,0,9999,2,9,2973
2018,0,9999,2,12,198
2018,0,9999,2,13,3486
2018,0,9999,2,14,1152
2018,0,9999,2,15,612
2018,0,9999,2,16,207
2018,0,9999,2,17,267
2018,0,9999,2,18,237
2018,0,9999,2,99,3
2018,0,9999,2,9999,28656
2018,0,9999,2,77,28653
2018,0,9999,9,1,2301
2018,0,9999,9,2,20298
2018,0,9999,9,3,6120
2018,0,9999,9,4,4014
2018,0,9999,9,5,684
2018,0,9999,9,6,2133
2018,0,9999,9,7,1443
2018,0,9999,9,8,3033
2018,0,9999,9,9,6024
2018,0,9999,9,12,399
2018,0,9999,9,13,7110
2018,0,9999,9,14,2364
2018,0,9999,9,15,1224
2018,0,9999,9,16,453
2018,0,9999,9,17,540
2018,0,9999,9,18,513
2018,0,9999,9,99,6
2018,0,9999,9,9999,58665
2018,0,9999,9,77,58659
2018,1,1,1,1,819
2018,1,1,1,2,5193
2018,1,1,1,3,2247
2018,1,1,1,4,1443
2018,1,1,1,5,189
2018,1,1,1,6,738
2018,1,1,1,7,636
2018,1,1,1,8,1152
2018,1,1,1,9,2094
2018,1,1,1,12,159
2018,1,1,1,13,2760
2018,1,1,1,14,993
2018,1,1,1,15,504
2018,1,1,1,16,237
2018,1,1,1,17,237
2018,1,1,1,18,243
2018,1,1,1,99,..C
2018,1,1,1,9999,19638
2018,1,1,1,77,19635
2018,1,1,2,1,804
2018,1,1,2,2,4902
2018,1,1,2,3,2097
2018,1,1,2,4,1326
2018,1,1,2,5,171
2018,1,1,2,6,711
2018,1,1,2,7,579
2018,1,1,2,8,1110
2018,1,1,2,9,2061
2018,1,1,2,12,141
2018,1,1,2,13,2658
2018,1,1,2,14,936
2018,1,1,2,15,468
2018,1,1,2,16,219
2018,1,1,2,17,204
2018,1,1,2,18,216
2018,1,1,2,99,..C
2018,1,1,2,9999,18606
2018,1,1,2,77,18606
2018,1,1,9,1,1623
2018,1,1,9,2,10095
2018,1,1,9,3,4344
2018,1,1,9,4,2766
2018,1,1,9,5,363
2018,1,1,9,6,1446
2018,1,1,9,7,1215
2018,1,1,9,8,2262
2018,1,1,9,9,4155
2018,1,1,9,12,297
2018,1,1,9,13,5424
2018,1,1,9,14,1929
2018,1,1,9,15,972
2018,1,1,9,16,456
2018,1,1,9,17,441
2018,1,1,9,18,459
2018,1,1,9,99,6
2018,1,1,9,9999,38244
2018,1,1,9,77,38238
2018,1,2,1,1,678
2018,1,2,1,2,1908
2018,1,2,1,3,1212
2018,1,2,1,4,957
2018,1,2,1,5,255
2018,1,2,1,6,507
2018,1,2,1,7,252
2018,1,2,1,8,633
2018,1,2,1,9,699
2018,1,2,1,12,42
2018,1,2,1,13,618
2018,1,2,1,14,192
2018,1,2,1,15,150
2018,1,2,1,16,60
2018,1,2,1,17,48
2018,1,2,1,18,81
2018,1,2,1,99,..C
2018,1,2,1,9999,8295
2018,1,2,1,77,8289
2018,1,2,2,1,657
2018,1,2,2,2,1857
2018,1,2,2,3,1191
2018,1,2,2,4,903
2018,1,2,2,5,246
2018,1,2,2,6,483
2018,1,2,2,7,228
2018,1,2,2,8,540
2018,1,2,2,9,690
2018,1,2,2,12,36
2018,1,2,2,13,570
2018,1,2,2,14,174
2018,1,2,2,15,138
2018,1,2,2,16,39
2018,1,2,2,17,51
2018,1,2,2,18,69
2018,1,2,2,99,..C
2018,1,2,2,9999,7863
2018,1,2,2,77,7863
2018,1,2,9,1,1332
2018,1,2,9,2,3765
2018,1,2,9,3,2400
2018,1,2,9,4,1857
2018,1,2,9,5,501
2018,1,2,9,6,990
2018,1,2,9,7,480
2018,1,2,9,8,1173
2018,1,2,9,9,1389
2018,1,2,9,12,75
2018,1,2,9,13,1188
2018,1,2,9,14,366
2018,1,2,9,15,288
2018,1,2,9,16,99
2018,1,2,9,17,96
2018,1,2,9,18,147
2018,1,2,9,99,..C
2018,1,2,9,9999,16155
2018,1,2,9,77,16152
2018,1,3,1,1,105
2018,1,3,1,2,2493
2018,1,3,1,3,273
2018,1,3,1,4,147
2018,1,3,1,5,33
2018,1,3,1,6,132
2018,1,3,1,7,36
2018,1,3,1,8,135
2018,1,3,1,9,438
2018,1,3,1,12,3
2018,1,3,1,13,246
2018,1,3,1,14,72
2018,1,3,1,15,33
2018,1,3,1,16,6
2018,1,3,1,17,21
2018,1,3,1,18,24
2018,1,3,1,99,..C
2018,1,3,1,9999,4188
2018,1,3,1,77,4188
2018,1,3,2,1,117
2018,1,3,2,2,2445
2018,1,3,2,3,285
2018,1,3,2,4,144
2018,1,3,2,5,36
2018,1,3,2,6,108
2018,1,3,2,7,24
2018,1,3,2,8,135
